invoice_id,branch,city,customer_type,gender,product_line, unit_price ,quantity,tax_5%, total ,date,time,payment, cogs ,gross_margin_percentage, gross_income ,rating, order_value , month 
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.97,1/5/2019,1:08 PM,Ewallet,522.83,4.761904762,26.14,9.1,182.99,January
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29 AM,Cash,76.40,4.761904762,3.82,9.6,19.10,March
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.53,3/3/2019,1:23 PM,Credit card,324.31,4.761904762,16.22,7.4,113.51,March
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.05,1/27/2019,8:33 PM,Ewallet,465.76,4.761904762,23.29,8.4,186.30,January
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.38,2/8/2019,10:37 AM,Ewallet,604.17,4.761904762,30.21,5.3,211.46,February
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.62,3/25/2019,6:30 PM,Ewallet,597.73,4.761904762,29.89,4.1,209.21,March
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.69,2/25/2019,2:36 PM,Ewallet,413.04,4.761904762,20.65,5.8,123.91,February
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38 AM,Ewallet,735.60,4.761904762,36.78,8,367.80,February
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.15,1/10/2019,5:15 PM,Credit card,72.52,4.761904762,3.63,7.2,7.25,January
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.75,2/20/2019,1:27 PM,Credit card,164.52,4.761904762,8.23,5.9,24.68,February
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.82,2/6/2019,6:07 PM,Ewallet,57.92,4.761904762,2.90,4.5,11.58,February
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.14,3/9/2019,5:03 PM,Cash,102.04,4.761904762,5.10,6.8,20.41,March
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.49,2/12/2019,10:25 AM,Ewallet,234.75,4.761904762,11.74,7.1,58.69,February
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.50,2/7/2019,4:48 PM,Ewallet,431.90,4.761904762,21.60,8.2,215.95,February
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,7:21 PM,Cash,713.80,4.761904762,35.69,5.7,356.90,March
